               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  61,            0.031189,            0.009543,                   0,             0.79992,                   1,               0.945,             0.41861,            0.031217,           0.0056944,                   0,           0.0099203,           0.0099203,           0.0099203
                  62,            0.030979,           0.0091556,                   0,              0.5999,                0.75,                0.77,              0.2623,            0.027197,           0.0071522,                   0,           0.0099176,           0.0099176,           0.0099176
                  63,            0.028128,           0.0075318,                   0,              0.7463,                0.75,             0.82536,             0.58553,            0.030313,           0.0052998,                   0,           0.0099149,           0.0099149,           0.0099149
                  64,            0.027412,           0.0094342,                   0,             0.99809,                0.75,             0.88786,             0.67294,            0.026498,           0.0059363,                   0,           0.0099121,           0.0099121,           0.0099121
                  65,            0.033052,            0.010015,                   0,             0.99747,                0.75,             0.88786,             0.65374,            0.035072,           0.0047217,                   0,           0.0099093,           0.0099093,           0.0099093
                  66,            0.028395,           0.0083623,                   0,                   1,             0.74965,                0.87,             0.56002,            0.037747,           0.0037677,                   0,           0.0099065,           0.0099065,           0.0099065
                  67,            0.031471,           0.0087525,                   0,             0.99921,                0.75,             0.91167,             0.65925,              0.0313,           0.0037336,                   0,           0.0099036,           0.0099036,           0.0099036
                  68,             0.02824,           0.0085713,                   0,                   1,             0.99967,               0.995,             0.70392,            0.036347,           0.0037739,                   0,           0.0099007,           0.0099007,           0.0099007
                  69,            0.030921,           0.0089079,                   0,                   1,             0.99991,               0.995,             0.74948,            0.024712,           0.0050939,                   0,           0.0098977,           0.0098977,           0.0098977
                  70,            0.026959,            0.009163,                   0,             0.99988,                   1,               0.995,             0.56665,            0.022886,            0.003985,                   0,           0.0098947,           0.0098947,           0.0098947
                  71,            0.025673,           0.0082962,                   0,              0.9997,                   1,               0.995,             0.65664,            0.021201,           0.0040003,                   0,           0.0098916,           0.0098916,           0.0098916
